Date,SP500,DJI
2009-10-01,1036.18994140625,9712.73046875
2009-11-01,1095.6300048828125,10344.83984375
2009-12-01,1115.0999755859375,10428.0498046875
2010-01-01,1073.8699951171875,10067.330078125
2010-02-01,1104.489990234375,10325.259765625
2010-03-01,1169.4300537109375,10856.6298828125
2010-04-01,1186.68994140625,11008.6103515625
2010-05-01,1089.4100341796875,10136.6298828125
2010-06-01,1030.7099609375,9774.01953125
2010-07-01,1101.5999755859375,10465.9404296875
2010-08-01,1049.3299560546875,10014.7197265625
2010-09-01,1141.199951171875,10788.0498046875
2010-10-01,1183.260009765625,11118.490234375
2010-11-01,1180.550048828125,11006.01953125
2010-12-01,1257.6400146484375,11577.509765625
2011-01-01,1286.1199951171875,11891.9296875
2011-02-01,1327.219970703125,12226.33984375
2011-03-01,1325.8299560546875,12319.73046875
2011-04-01,1363.6099853515625,12810.5400390625
2011-05-01,1345.199951171875,12569.7900390625
2011-06-01,1320.6400146484375,12414.33984375
2011-07-01,1292.280029296875,12143.240234375
2011-08-01,1218.8900146484375,11613.5302734375
2011-09-01,1131.4200439453125,10913.3798828125
2011-10-01,1253.300048828125,11955.009765625
2011-11-01,1246.9599609375,12045.6796875
2011-12-01,1257.5999755859375,12217.5595703125
2012-01-01,1312.4100341796875,12632.91015625
2012-02-01,1365.6800537109375,12952.0703125
2012-03-01,1408.469970703125,13212.0400390625
2012-04-01,1397.9100341796875,13213.6298828125
2012-05-01,1310.3299560546875,12393.4501953125
2012-06-01,1362.1600341796875,12880.08984375
2012-07-01,1379.3199462890625,13008.6796875
2012-08-01,1406.5799560546875,13090.83984375
2012-09-01,1440.6700439453125,13437.1298828125
2012-10-01,1412.1600341796875,13096.4599609375
2012-11-01,1416.1800537109375,13025.580078125
2012-12-01,1426.18994140625,13104.1396484375
2013-01-01,1498.1099853515625,13860.580078125
2013-02-01,1514.6800537109375,14054.490234375
2013-03-01,1569.18994140625,14578.5400390625
2013-04-01,1597.5699462890625,14839.7998046875
2013-05-01,1630.739990234375,15115.5703125
2013-06-01,1606.280029296875,14909.599609375
2013-07-01,1685.72998046875,15499.5400390625
2013-08-01,1632.969970703125,14810.3095703125
2013-09-01,1681.550048828125,15129.669921875
2013-10-01,1756.5400390625,15545.75
2013-11-01,1805.81005859375,16086.41015625
2013-12-01,1848.3599853515625,16576.66015625
2014-01-01,1782.5899658203125,15698.849609375
2014-02-01,1859.449951171875,16321.7099609375
2014-03-01,1872.3399658203125,16457.66015625
2014-04-01,1883.949951171875,16580.83984375
2014-05-01,1923.5699462890625,16717.169921875
2014-06-01,1960.22998046875,16826.599609375
2014-07-01,1930.6700439453125,16563.30078125
2014-08-01,2003.3699951171875,17098.44921875
2014-09-01,1972.2900390625,17042.900390625
2014-10-01,2018.050048828125,17390.51953125
2014-11-01,2067.56005859375,17828.240234375
2014-12-01,2058.89990234375,17823.0703125
2015-01-01,1994.989990234375,17164.94921875
2015-02-01,2104.5,18132.69921875
2015-03-01,2067.889892578125,17776.119140625
2015-04-01,2085.510009765625,17840.51953125
2015-05-01,2107.389892578125,18010.6796875
2015-06-01,2063.110107421875,17619.509765625
2015-07-01,2103.840087890625,17689.859375
2015-08-01,1972.1800537109375,16528.029296875
2015-09-01,1920.030029296875,16284.7001953125
2015-10-01,2079.360107421875,17663.5390625
2015-11-01,2080.409912109375,17719.919921875
2015-12-01,2043.93994140625,17425.029296875
2016-01-01,1940.239990234375,16466.30078125
2016-02-01,1932.22998046875,16516.5
2016-03-01,2059.739990234375,17685.08984375
2016-04-01,2065.300048828125,17773.640625
2016-05-01,2096.949951171875,17787.19921875
2016-06-01,2098.860107421875,17929.990234375
2016-07-01,2173.60009765625,18432.240234375
2016-08-01,2170.949951171875,18400.880859375
2016-09-01,2168.27001953125,18308.150390625
2016-10-01,2126.14990234375,18142.419921875
2016-11-01,2198.81005859375,19123.580078125
2016-12-01,2238.830078125,19762.599609375
2017-01-01,2278.8701171875,19864.08984375
2017-02-01,2363.639892578125,20812.240234375
2017-03-01,2362.719970703125,20663.220703125
2017-04-01,2384.199951171875,20940.509765625
2017-05-01,2411.800048828125,21008.650390625
2017-06-01,2423.409912109375,21349.630859375
2017-07-01,2470.300048828125,21891.119140625
2017-08-01,2471.64990234375,21948.099609375
2017-09-01,2519.360107421875,22405.08984375
2017-10-01,2575.260009765625,23377.240234375
2017-11-01,2647.580078125,24272.349609375
2017-12-01,2673.610107421875,24719.220703125
2018-01-01,2823.81005859375,26149.390625
2018-02-01,2713.830078125,25029.19921875
2018-03-01,2640.8701171875,24103.109375
2018-04-01,2648.050048828125,24163.150390625
2018-05-01,2705.27001953125,24415.83984375
2018-06-01,2718.3701171875,24271.41015625
2018-07-01,2816.2900390625,25415.189453125
2018-08-01,2901.52001953125,25964.8203125
2018-09-01,2913.97998046875,26458.310546875
2018-10-01,2711.739990234375,25115.759765625
2018-11-01,2760.169921875,25538.4609375
2018-12-01,2506.85009765625,23327.4609375
2019-01-01,2704.10009765625,24999.669921875
2019-02-01,2784.489990234375,25916.0
2019-03-01,2834.39990234375,25928.6796875
2019-04-01,2945.830078125,26592.91015625
